301A001	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	1	1	1	1	
301A002	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	1	
301A003	0	0	0	0	0	0	1	1	1	1	1	1	1	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	
301A004	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	
301A005	1	1	0	0	1	1	1	1	0	0	0	0	1	1	0	1	0	0	0	1	1	1	1	0	0	0	0	0	
301A006	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	
301A007	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	
301A008	1	1	2	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	
301A009	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	
301A010	0	0	0	1	2	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	
302A011	1	2	2	2	3	0	0	1	2	2	2	2	1	1	1	0	3	2	2	2	3	3	1	0	2	2	2	2	
302A012	2	3	3	0	2	3	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	
302A013	3	0	0	3	3	2	2	2	3	0	0	3	3	3	2	3	0	3	3	3	2	2	2	2	1	1	0	0	
302A014	0	0	0	0	0	1	0	0	0	2	1	3	3	3	1	2	2	2	2	1	1	0	0	0	3	3	0	2	
302A015	2	2	2	1	3	3	3	3	0	0	1	2	2	1	2	2	2	2	2	2	2	1	1	1	3	1	2	2	
302A016	3	3	2	2	2	2	2	2	3	3	3	3	3	3	0	1	1	1	2	2	2	3	0	0	0	0	3	3	
302A017	2	2	1	0	0	0	1	3	0	0	1	1	0	0	0	0	0	0	0	0	1	2	2	1	3	3	3	3	
302A018	2	2	2	2	2	2	3	0	3	2	1	3	0	0	2	1	1	3	3	3	3	1	3	2	2	3	0	0	
302A019	3	0	0	0	0	0	2	2	3	1	2	1	1	0	0	0	2	1	1	3	3	0	0	0	0	3	1	0	
302A020	2	3	0	1	3	3	3	3	1	0	0	0	3	2	3	1	1	1	3	0	0	3	3	0	1	3	3	2	
302A021	3	0	1	1	1	1	1	0	0	0	0	2	2	1	3	3	1	1	1	1	0	0	1	3	2	2	2	3	
302A022	0	1	3	3	3	3	1	1	2	2	2	3	0	0	3	3	0	0	3	0	0	1	0	0	0	1	1	0	
302A023	2	2	2	2	2	2	3	3	0	0	2	1	3	3	1	0	0	0	3	0	0	0	2	2	1	1	0	1	
302A024	2	3	0	0	1	3	0	0	0	0	3	3	0	3	3	3	3	3	0	0	2	2	2	2	3	3	3	3	
302A025	2	2	1	2	1	1	3	3	0	0	0	3	0	0	0	0	0	3	3	1	1	2	1	1	1	1	1	3	
302A026	0	0	0	2	3	0	0	0	0	0	0	3	0	0	2	2	1	3	3	3	3	1	3	2	2	3	0	0	
302A027	0	0	0	2	2	2	2	2	3	1	2	1	1	0	0	0	2	1	1	3	3	3	0	0	0	2	2	1	
302A028	3	3	2	1	1	1	0	0	1	2	3	1	1	2	3	1	1	1	3	0	0	0	3	3	1	3	3	2	
302A029	0	0	0	0	3	3	2	2	2	1	1	1	1	0	0	0	3	0	0	3	0	0	0	0	0	2	3	0	
302A030	1	1	1	2	2	2	2	2	2	3	2	2	2	1	2	2	2	2	2	1	1	3	3	3	3	2	2	2	
302A031	0	1	1	3	1	0	0	1	0	0	0	2	2	2	2	3	2	2	2	2	2	2	2	1	0	0	1	0	
302A032	0	1	3	3	3	0	0	0	0	3	0	2	2	2	1	1	0	2	1	2	2	2	2	2	2	1	0	0	
