301D001	1	1	4	4	4	0	0	1	1	4	4	4	0	0	1	1	4	4	4	0	0	1	1	4	4	4	0	0	
301D003	3	3	3	4	4	0	0	3	3	3	4	4	0	0	3	3	3	4	4	0	0	3	3	3	4	4	0	0	
301D004	4	4	0	0	1	1	1	4	4	0	0	1	1	1	4	4	0	0	1	1	1	4	4	0	0	1	1	1	
301D005	4	0	0	1	1	3	3	4	0	0	1	1	3	3	4	0	0	1	1	3	3	4	0	0	1	1	3	3	
301D006	1	1	3	3	3	0	0	1	1	3	3	3	0	0	1	1	3	3	3	0	0	1	1	3	3	3	0	0	
301D007	0	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	1	1	1	0	0	
301D008	0	0	1	3	3	4	4	0	0	1	3	3	4	4	0	0	1	3	3	4	4	0	0	1	3	3	4	4	
301D009	0	0	0	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	1	0	0	1	0	1	1	1	0	0	
302D010	3	1	3	3	0	0	0	3	1	3	0	0	0	0	3	1	3	3	0	0	0	3	1	3	3	0	0	0	
302D011	0	1	3	3	0	0	0	0	1	3	3	0	0	0	0	0	3	3	0	0	0	0	1	3	0	0	0	0	
302D012	3	4	0	0	1	1	1	3	4	0	0	1	1	1	3	4	0	0	1	1	1	3	4	0	0	1	1	1	
302D013	0	0	0	0	3	3	3	0	0	3	0	3	3	3	0	0	3	0	3	3	3	0	0	3	0	3	3	3	
302D014	1	0	0	0	3	3	3	0	0	0	0	3	3	3	1	0	0	0	3	3	3	1	0	0	0	3	3	3	
302D015	1	0	3	0	0	3	3	1	0	3	0	0	3	3	1	0	0	0	0	3	3	1	0	3	0	0	3	3	
302D016	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	
302D017	0	4	4	0	0	0	0	0	4	4	4	0	0	0	0	0	4	4	0	0	0	0	4	4	4	0	0	0	
302D018	3	0	0	1	1	3	3	3	0	0	1	1	3	3	3	0	0	1	1	3	3	3	0	0	1	1	3	3	
302D019	0	0	3	3	4	0	0	0	0	3	3	4	0	0	0	0	3	3	4	0	0	0	0	0	3	4	0	0	
302D020	1	0	3	1	3	0	0	1	0	3	1	3	0	0	1	0	3	1	3	0	0	1	0	3	1	3	0	0	
302D021	1	0	0	0	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	1	1	
302D022	0	0	3	1	1	1	0	0	0	3	1	1	1	0	0	0	3	1	1	1	0	0	0	3	1	1	1	0	
302D023	3	4	4	0	0	0	0	3	4	4	4	0	0	0	3	4	4	4	0	0	0	3	4	4	4	0	0	0	
302D024	0	0	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	1	1	1	0	
302D025	4	0	0	0	3	3	3	0	0	0	0	3	3	3	4	0	0	0	3	3	3	4	0	0	0	3	3	3	
302D026	4	0	0	0	4	4	4	4	0	0	0	4	4	4	0	0	0	0	4	4	4	4	0	0	0	4	4	4	
302D027	4	0	0	0	4	4	4	4	0	0	0	4	4	4	4	0	0	0	4	4	4	4	0	0	0	0	4	4	
302D028	4	0	0	0	4	4	4	4	0	0	0	4	4	4	4	0	0	0	4	4	4	0	0	0	0	4	4	4	
302D029	4	0	0	0	4	4	4	4	0	0	0	4	4	4	0	0	0	0	4	4	4	4	0	0	0	4	4	4	
302D030	0	1	1	1	3	3	0	0	1	1	1	3	3	0	0	1	1	1	3	3	0	0	1	1	1	3	3	0	
302D031	3	4	0	0	1	1	1	3	4	0	0	1	1	1	3	4	0	0	1	1	1	3	4	0	0	1	1	1	
302D032	3	3	4	0	0	0	0	3	3	4	4	0	0	0	3	3	4	4	0	0	0	3	3	4	4	0	0	0	
302D033	4	3	4	4	0	0	1	4	3	4	4	0	0	1	4	3	4	4	0	0	1	4	3	4	4	0	0	1	
302D034	3	3	4	4	0	0	0	0	3	4	4	0	0	0	3	3	4	4	0	0	0	3	3	4	4	0	0	0	
302D035	3	3	4	4	0	0	0	3	3	4	0	0	0	0	3	3	4	4	0	0	0	3	3	4	4	0	0	0	
302D036	4	4	0	0	1	1	1	4	4	0	0	1	1	1	4	4	0	0	1	1	1	4	4	0	0	1	1	1	
302D037	0	0	1	0	3	4	4	0	0	0	0	3	4	4	0	0	1	0	3	4	4	0	0	1	0	3	4	4	
302D038	0	0	1	0	3	4	4	0	0	1	0	3	4	4	0	0	0	0	3	4	4	0	0	1	0	3	4	4	
302D039	0	0	1	0	4	4	4	0	0	1	0	4	4	4	0	0	1	0	4	4	4	0	0	0	0	4	4	4	
302D040	3	3	4	0	0	0	0	3	3	4	3	0	0	0	3	3	4	3	0	0	0	3	3	4	3	0	0	0	
302D041	0	3	3	3	0	0	0	0	3	3	3	0	0	0	0	3	3	3	0	0	0	0	0	3	3	0	0	0	
302D042	4	4	0	0	3	3	3	4	4	0	0	3	3	3	4	4	0	0	3	3	3	4	4	0	0	3	3	3	
302D043	4	4	0	0	1	1	1	4	4	0	0	1	1	1	4	4	0	0	1	1	1	4	4	0	0	1	1	1	
302D044	1	3	3	3	0	0	0	0	3	3	3	0	0	0	0	3	3	3	0	0	0	1	3	3	3	0	0	0	
302D045	1	3	0	0	3	3	3	1	3	0	0	3	3	3	1	3	0	0	3	3	3	1	3	0	0	3	3	3	
302D046	0	0	0	0	1	1	1	0	0	1	0	1	1	1	0	0	1	0	1	1	1	0	0	1	0	1	1	1	
