301B001	4	4	4	0	0	0	0	4	0	4	0	0	0	0	4	4	4	0	0	0	0	4	0	4	1	0	0	0	
301B002	1	1	1	3	3	0	0	1	1	1	3	3	0	0	1	1	1	3	3	0	0	1	1	1	3	3	0	0	
301B003	1	1	4	3	3	0	0	1	1	1	3	3	0	0	1	1	1	3	3	0	0	1	1	1	3	3	0	0	
301B004	4	0	0	1	1	1	1	4	0	0	1	1	1	1	4	0	0	1	1	1	1	4	0	0	1	1	1	1	
301B005	3	3	3	4	4	0	0	3	3	3	4	1	0	0	3	3	0	4	4	3	0	3	3	3	4	4	0	0	
301B006	3	3	3	4	4	0	0	3	3	3	4	4	0	0	3	3	3	4	4	0	0	3	3	3	4	4	0	0	
301B007	1	4	0	0	1	4	4	0	1	0	1	1	4	4	0	0	0	1	1	4	4	0	1	0	0	1	4	4	
301B008	1	1	0	3	3	4	0	1	1	3	3	3	0	0	1	1	3	3	4	0	0	1	1	3	3	3	0	0	
301B009	0	3	1	1	1	3	3	0	0	1	1	1	3	3	0	0	1	1	1	3	3	0	0	1	1	1	3	3	
302B010	1	1	3	0	0	1	1	1	1	3	0	0	1	1	1	1	4	0	0	1	1	1	1	3	0	0	1	1	
302B011	4	4	3	1	0	0	0	0	4	3	1	0	0	0	4	4	3	1	0	0	0	4	4	1	1	0	0	0	
302B012	0	0	0	3	4	4	4	0	0	0	3	4	4	4	0	0	0	3	4	4	4	0	0	0	3	4	4	4	
302B013	0	0	3	4	1	1	1	0	0	3	4	1	1	1	0	0	3	4	1	1	1	0	0	3	4	1	1	1	
302B014	0	0	0	0	3	3	3	0	0	0	0	3	3	3	0	0	0	0	0	3	3	0	0	0	0	0	3	3	
302B015	4	0	3	0	3	3	3	0	0	3	3	3	3	3	0	0	3	3	3	3	3	0	0	3	3	3	3	3	
302B016	0	4	3	0	0	4	4	0	4	3	0	0	4	4	0	4	3	0	0	4	4	0	4	3	0	0	0	4	
302B017	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	
302B018	0	0	1	1	4	1	1	0	0	1	1	4	1	1	0	0	1	1	3	1	1	0	0	1	1	4	1	1	
302B019	4	4	1	0	0	1	1	4	4	4	0	0	1	1	4	4	1	0	0	1	1	4	4	1	0	0	1	1	
302B020	4	4	0	0	0	4	4	4	4	0	0	0	4	4	4	4	0	0	0	4	4	4	0	0	0	0	4	4	
302B021	3	3	1	0	0	1	1	3	3	1	0	0	1	1	3	3	1	0	0	1	1	3	3	1	0	0	1	1	
302B022	0	0	4	4	0	4	4	0	0	0	4	0	4	4	0	0	4	4	0	4	4	0	0	4	4	0	4	4	
302B023	0	0	3	4	3	3	3	0	0	3	4	3	3	3	0	0	3	4	3	3	3	0	0	3	4	3	3	3	
302B024	0	0	3	3	3	3	3	0	0	3	3	3	3	3	0	0	3	3	3	3	3	0	0	3	3	3	3	3	
302B025	3	1	0	3	3	3	3	3	0	0	3	3	3	3	3	0	0	3	3	0	3	3	0	0	3	3	3	3	
302D002	3	3	4	0	4	0	0	3	3	4	0	4	0	0	3	3	4	0	0	0	0	3	3	4	0	4	0	0	
